Fix Mode,SV in Fix,Week Num,Time of Week (0.01s),Latitude (1E-7 deg),Longitude (1E-7 deg),Height Above Ellipsoid (0.01 m),Height Above Sea Level (0.01 m),Geometric Dilution of Precision (0.01),Position Dilution of Precision (0.01),Horizontal Dilution of Precision (0.01),Vertical Dilution of Precision (0.01),Time Dilution of Precision (0.01),ECEF X (0.01 m),ECEF Y (0.01 m),ECEF Z (0.01 m),ECEF-VX (0.01m/s),ECEF-VY (0.01m/s),ECEF-VZ (0.01m/s),Range (raw)
0,0,1381,30240330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1381,30240920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
