Fix Mode,SV in Fix,Week Num,Time of Week (0.01s),Latitude (1E-7 deg),Longitude (1E-7 deg),Height Above Ellipsoid (0.01 m),Height Above Sea Level (0.01 m),Geometric Dilution of Precision (0.01),Position Dilution of Precision (0.01),Horizontal Dilution of Precision (0.01),Vertical Dilution of Precision (0.01),Time Dilution of Precision (0.01),ECEF X (0.01 m),ECEF Y (0.01 m),ECEF Z (0.01 m),ECEF-VX (0.01m/s),ECEF-VY (0.01m/s),ECEF-VZ (0.01m/s),Range (raw)
0,0,2152,8203530,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8203539,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8203550,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8203560,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8203570,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8203580,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8203589,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8203589,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204010,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204020,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204030,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
,,,8204032,,,,,,,,,,,,,,,,22752
0,0,2152,8204039,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204050,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204060,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204070,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204070,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204200,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204210,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
,,,8204219,,,,,,,,,,,,,,,,22708
0,0,2152,8204220,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204230,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204239,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204250,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204260,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204260,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204380,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204389,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
,,,8204398,,,,,,,,,,,,,,,,22731
0,0,2152,8204400,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204410,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204420,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204430,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204439,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204439,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204560,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204570,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
,,,8204578,,,,,,,,,,,,,,,,22754
0,0,2152,8204580,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204589,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204600,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204610,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204620,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204620,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204739,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204750,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
,,,8204758,,,,,,,,,,,,,,,,22777
0,0,2152,8204760,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204770,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204780,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204789,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204800,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
0,0,2152,8204800,0,0,0,0,0,0,0,0,0,-270072400,-429439700,385307500,0,0,0,
