Fix Mode,SV in Fix,Week Num,Time of Week (0.01s),Latitude (1E-7 deg),Longitude (1E-7 deg),Height Above Ellipsoid (0.01 m),Height Above Sea Level (0.01 m),Geometric Dilution of Precision (0.01),Position Dilution of Precision (0.01),Horizontal Dilution of Precision (0.01),Vertical Dilution of Precision (0.01),Time Dilution of Precision (0.01),ECEF X (0.01 m),ECEF Y (0.01 m),ECEF Z (0.01 m),ECEF-VX (0.01m/s),ECEF-VY (0.01m/s),ECEF-VZ (0.01m/s),Raw Range,Frequency Offset
,,,15735050.47,,,,,,,,,,,,,,,,109302,1208
,,,15735238.21,,,,,,,,,,,,,,,,109265,1208
,,,15735418.05,,,,,,,,,,,,,,,,109332,1192
,,,15735598.47,,,,,,,,,,,,,,,,109274,1224
,,,15735777.64,,,,,,,,,,,,,,,,109398,1224
,,,15735958.1,,,,,,,,,,,,,,,,109277,1272
,,,15736138.54,,,,,,,,,,,,,,,,109253,1256
,,,15736316.62,,,,,,,,,,,,,,,,109296,1240
,,,15736498.44,,,,,,,,,,,,,,,,109325,1240
,,,15736677.74,,,,,,,,,,,,,,,,109302,1240
,,,15736858.07,,,,,,,,,,,,,,,,109304,1240
,,,15737037.22,,,,,,,,,,,,,,,,109340,1208
,,,15737217.64,,,,,,,,,,,,,,,,109327,1208
,,,15737396.89,,,,,,,,,,,,,,,,109365,1208
,,,15737576.62,,,,,,,,,,,,,,,,109336,1208
,,,15737758.23,,,,,,,,,,,,,,,,109342,1192
,,,15737937.41,,,,,,,,,,,,,,,,109333,1208
,,,15738117.79,,,,,,,,,,,,,,,,109315,1176
,,,15738296.95,,,,,,,,,,,,,,,,109265,1176
,,,15738477.45,,,,,,,,,,,,,,,,109276,1176
,,,15738657.83,,,,,,,,,,,,,,,,109327,1160
,,,15738837.57,,,,,,,,,,,,,,,,109263,1160
,,,15739018.62,,,,,,,,,,,,,,,,109293,1144
,,,15739197.79,,,,,,,,,,,,,,,,109307,1144
,,,15739378.42,,,,,,,,,,,,,,,,109352,1144
,,,15739557.6,,,,,,,,,,,,,,,,109315,1144
,,,15739738.19,,,,,,,,,,,,,,,,109356,1144
2,5,2153,15739864,374004429,-1221728689,76,3306,165,149,119,90,71,-270131446,-429412266,385279261,0,0,0,,
3,5,2153,15739874,374004014,-1221730631,15673,18903,271,242,125,207,122,-270139648,-429422076,385288368,0,0,0,,
3,5,2153,15739884,374004025,-1221730608,14692,17922,271,242,125,207,122,-270139211,-429421420,385287782,0,0,0,,
3,5,2153,15739894,374004026,-1221730584,14149,17379,271,242,125,207,122,-270138964,-429421065,385287452,0,0,0,,
3,5,2153,15739904,374004028,-1221730573,13929,17159,271,242,125,207,122,-270138862,-429420922,385287321,0,0,0,,
3,5,2153,15739914,374004032,-1221730563,13678,16908,271,242,125,207,122,-270138747,-429420755,385287172,0,0,0,,
,,,15739918.45,,,,,,,,,,,,,,,,109312,1144
3,5,2153,15739924,374004037,-1221730555,13513,16743,271,242,125,207,122,-270138670,-429420646,385287076,0,0,0,,
3,5,2153,15739934,374004040,-1221730548,13394,16624,271,242,125,207,122,-270138613,-429420567,385287006,0,0,0,,
3,5,2153,15739934,374004040,-1221730548,13394,16624,271,242,125,207,122,-270138613,-429420567,385287006,0,0,0,,
3,5,2153,15740044,374004047,-1221730537,13236,16466,271,242,125,207,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740054,374004047,-1221730537,13236,16466,271,242,125,207,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740064,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740074,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740084,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740094,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
,,,15740097.65,,,,,,,,,,,,,,,,109284,1144
3,5,2153,15740104,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740104,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740229,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740239,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740249,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740259,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740269,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
,,,15740276.81,,,,,,,,,,,,,,,,109276,1144
3,5,2153,15740279,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740289,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740289,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740409,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740419,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740429,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740439,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740449,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
,,,15740456.82,,,,,,,,,,,,,,,,109345,1144
3,5,2153,15740459,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740469,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740469,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740589,374004047,-1221730537,13236,16466,271,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740599,374004047,-1221730537,13236,16466,272,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740609,374004047,-1221730537,13236,16466,272,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
3,5,2153,15740619,374004047,-1221730537,13236,16466,272,242,125,208,122,-270138535,-429420462,385286916,0,0,0,,
