Fix Mode,SV in Fix,Week Num,Time of Week (0.01s),Latitude (1E-7 deg),Longitude (1E-7 deg),Height Above Ellipsoid (0.01 m),Height Above Sea Level (0.01 m),Geometric Dilution of Precision (0.01),Position Dilution of Precision (0.01),Horizontal Dilution of Precision (0.01),Vertical Dilution of Precision (0.01),Time Dilution of Precision (0.01),ECEF X (0.01 m),ECEF Y (0.01 m),ECEF Z (0.01 m),ECEF-VX (0.01m/s),ECEF-VY (0.01m/s),ECEF-VZ (0.01m/s),Raw Range,Frequency Offset
,,,15735095.23,,,,,,,,,,,,,,,,109249,1047368
,,,15735282.99,,,,,,,,,,,,,,,,109263,1047368
,,,15735462.8,,,,,,,,,,,,,,,,109302,1047352
,,,15735643.19,,,,,,,,,,,,,,,,109160,1047352
,,,15735823.6,,,,,,,,,,,,,,,,109255,1047352
,,,15736002.92,,,,,,,,,,,,,,,,109254,1047320
,,,15736182.17,,,,,,,,,,,,,,,,109196,1047320
,,,15736361.38,,,,,,,,,,,,,,,,109219,1047320
,,,15736543.27,,,,,,,,,,,,,,,,109263,1047352
,,,15736722.48,,,,,,,,,,,,,,,,109285,1047352
2,5,2153,15736833,373631706,-1221790491,53,3293,341,312,296,98,138,-270311505,-429595678,384950544,0,0,0,,
2,5,2153,15736843,373654924,-1221801983,25084,28324,871,761,607,459,422,-270322388,-429593857,384986216,0,0,0,,
2,5,2153,15736853,373655080,-1221802045,25082,28322,871,761,607,459,422,-270322378,-429593739,384986352,0,0,0,,
2,5,2153,15736863,373655914,-1221802374,25015,28255,871,761,607,459,422,-270322298,-429593063,384987048,0,0,0,,
2,5,2153,15736873,373656405,-1221802555,25021,28261,871,761,607,459,422,-270322260,-429592701,384987485,0,0,0,,
2,5,2153,15736873,373656405,-1221802555,25021,28261,871,761,607,459,422,-270322260,-429592701,384987485,0,0,0,,
,,,15736902.81,,,,,,,,,,,,,,,,109308,1047368
2,5,2153,15736993,373656934,-1221802790,25373,28613,871,762,607,459,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737003,373656934,-1221802790,25373,28613,871,762,607,459,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737013,373656934,-1221802790,25373,28613,871,762,607,459,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737023,373656934,-1221802790,25373,28613,871,762,607,459,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737033,373656934,-1221802790,25373,28613,871,762,607,459,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737043,373656934,-1221802790,25373,28613,871,762,607,459,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737053,373656934,-1221802790,25373,28613,871,762,607,459,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737053,373656934,-1221802790,25373,28613,871,762,607,459,422,-270322394,-429592526,384988164,0,0,0,,
,,,15737083.17,,,,,,,,,,,,,,,,109308,1047352
2,5,2153,15737173,373656934,-1221802790,25373,28613,871,762,607,460,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737183,373656934,-1221802790,25373,28613,871,762,607,460,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737193,373656934,-1221802790,25373,28613,871,762,607,460,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737203,373656934,-1221802790,25373,28613,871,762,607,460,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737213,373656934,-1221802790,25373,28613,871,762,607,460,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737223,373656934,-1221802790,25373,28613,871,762,607,460,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737233,373656934,-1221802790,25373,28613,871,762,607,460,422,-270322394,-429592526,384988164,0,0,0,,
2,5,2153,15737233,373656934,-1221802790,25373,28613,871,762,607,460,422,-270322394,-429592526,384988164,0,0,0,,
,,,15737262.32,,,,,,,,,,,,,,,,109264,1047352
