Fix Mode,SV in Fix,Week Num,Time of Week (0.01s),Latitude (1E-7 deg),Longitude (1E-7 deg),Height Above Ellipsoid (0.01 m),Height Above Sea Level (0.01 m),Geometric Dilution of Precision (0.01),Position Dilution of Precision (0.01),Horizontal Dilution of Precision (0.01),Vertical Dilution of Precision (0.01),Time Dilution of Precision (0.01),ECEF X (0.01 m),ECEF Y (0.01 m),ECEF Z (0.01 m),ECEF-VX (0.01m/s),ECEF-VY (0.01m/s),ECEF-VZ (0.01m/s),Raw Range,Frequency Offset,Target ID
,,,50334892.67,,,,,,,,,,,,,,,,219873,1048136,76
,,,50335066.2,,,,,,,,,,,,,,,,191268,1000,77
,,,50335238.63,,,,,,,,,,,,,,,,109360,376,78
,,,50335413.45,,,,,,,,,,,,,,,,22771,1256,74
,,,50335598.64,,,,,,,,,,,,,,,,219828,1048136,76
,,,50335772.3,,,,,,,,,,,,,,,,191293,1000,77
,,,50335943.59,,,,,,,,,,,,,,,,109218,392,78
,,,50336117.3,,,,,,,,,,,,,,,,22703,1272,74
,,,50336297.11,,,,,,,,,,,,,,,,220012,1048104,76
,,,50336469.46,,,,,,,,,,,,,,,,191180,1000,77
,,,50336641.81,,,,,,,,,,,,,,,,109166,392,78
,,,50336815.36,,,,,,,,,,,,,,,,22719,1288,74
,,,50336996.34,,,,,,,,,,,,,,,,219926,1048120,76
,,,50337168.59,,,,,,,,,,,,,,,,191397,1016,77
,,,50337340.93,,,,,,,,,,,,,,,,109275,408,78
,,,50337513.29,,,,,,,,,,,,,,,,22734,1288,74
,,,50337694.32,,,,,,,,,,,,,,,,219973,1048120,76
,,,50337866.71,,,,,,,,,,,,,,,,191224,1064,77
,,,50338040.23,,,,,,,,,,,,,,,,109280,408,78
,,,50338212.71,,,,,,,,,,,,,,,,22760,1304,74
,,,50338394.18,,,,,,,,,,,,,,,,219947,1048152,76
,,,50338568.88,,,,,,,,,,,,,,,,191285,1064,77
,,,50338742.44,,,,,,,,,,,,,,,,109247,408,78
,,,50338915,,,,,,,,,,,,,,,,22741,1288,74
,,,50339095.96,,,,,,,,,,,,,,,,219994,1048152,76
,,,50339268.18,,,,,,,,,,,,,,,,191347,1096,77
,,,50339443.08,,,,,,,,,,,,,,,,109245,408,78
,,,50339615.31,,,,,,,,,,,,,,,,22722,1288,74
,,,50339796.86,,,,,,,,,,,,,,,,219981,1048168,76
,,,50339969.2,,,,,,,,,,,,,,,,191382,1096,77
,,,50340142.67,,,,,,,,,,,,,,,,109308,408,78
,,,50340314.93,,,,,,,,,,,,,,,,22722,1288,74
,,,50340494.74,,,,,,,,,,,,,,,,220049,1048168,76
,,,50340667.06,,,,,,,,,,,,,,,,191413,1080,77
,,,50340840.66,,,,,,,,,,,,,,,,109197,408,78
,,,50341014.18,,,,,,,,,,,,,,,,22770,1304,74
,,,50341195.15,,,,,,,,,,,,,,,,219951,1048136,76
,,,50341367.48,,,,,,,,,,,,,,,,191423,1096,77
,,,50341540.99,,,,,,,,,,,,,,,,109217,392,78
,,,50341713.37,,,,,,,,,,,,,,,,22796,1304,74
,,,50341894.86,,,,,,,,,,,,,,,,219958,1048200,76
,,,50342067.1,,,,,,,,,,,,,,,,191503,1160,77
