Fix Mode,SV in Fix,Week Num,Time of Week (0.01s),Latitude (1E-7 deg),Longitude (1E-7 deg),Height Above Ellipsoid (0.01 m),Height Above Sea Level (0.01 m),Geometric Dilution of Precision (0.01),Position Dilution of Precision (0.01),Horizontal Dilution of Precision (0.01),Vertical Dilution of Precision (0.01),Time Dilution of Precision (0.01),ECEF X (0.01 m),ECEF Y (0.01 m),ECEF Z (0.01 m),ECEF-VX (0.01m/s),ECEF-VY (0.01m/s),ECEF-VZ (0.01m/s),Raw Range,Frequency Offset
3,7,2155,50334829,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
3,7,2155,50334839,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
3,7,2155,50334849,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
3,7,2155,50334859,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
3,7,2155,50334869,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
3,7,2155,50334879,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
3,7,2155,50334889,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
3,7,2155,50334889,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
,,,50334916.48,,,,,,,,,,,,,,,,219866,456
3,7,2155,50335529,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
3,7,2155,50335539,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
3,7,2155,50335549,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
3,7,2155,50335559,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
3,7,2155,50335569,373246398,-1222042851,67646,70896,288,250,149,201,143,-270667585,-429741550,384651558,0,0,0,,
