Fix Mode,SV in Fix,Week Num,Time of Week (0.01s),Latitude (1E-7 deg),Longitude (1E-7 deg),Height Above Ellipsoid (0.01 m),Height Above Sea Level (0.01 m),Geometric Dilution of Precision (0.01),Position Dilution of Precision (0.01),Horizontal Dilution of Precision (0.01),Vertical Dilution of Precision (0.01),Time Dilution of Precision (0.01),ECEF X (0.01 m),ECEF Y (0.01 m),ECEF Z (0.01 m),ECEF-VX (0.01m/s),ECEF-VY (0.01m/s),ECEF-VZ (0.01m/s),Raw Range,Frequency Offset
3,8,2155,50334999,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335009,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335019,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335029,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335039,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335049,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335059,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335059,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
,,,50335107.42,,,,,,,,,,,,,,,,191369,1047576
3,8,2155,50335709,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335719,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335729,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335739,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335749,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335759,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335769,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
3,8,2155,50335769,373650287,-1222461483,56036,59286,257,221,102,196,130,-270831483,-429305867,385000910,0,0,0,,
,,,50335812.44,,,,,,,,,,,,,,,,191465,1047592
