Fix Mode,SV in Fix,Week Num,Time of Week (0.01s),Latitude (1E-7 deg),Longitude (1E-7 deg),Height Above Ellipsoid (0.01 m),Height Above Sea Level (0.01 m),Geometric Dilution of Precision (0.01),Position Dilution of Precision (0.01),Horizontal Dilution of Precision (0.01),Vertical Dilution of Precision (0.01),Time Dilution of Precision (0.01),ECEF X (0.01 m),ECEF Y (0.01 m),ECEF Z (0.01 m),ECEF-VX (0.01m/s),ECEF-VY (0.01m/s),ECEF-VZ (0.01m/s),Raw Range,Frequency Offset
3,12,2155,50335169,373658890,-1221803657,25111,28351,184,162,81,140,89,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335179,373658890,-1221803657,25111,28351,184,162,81,140,89,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335189,373658890,-1221803657,25111,28351,184,162,81,140,89,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335199,373658890,-1221803657,25111,28351,184,162,81,140,89,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335209,373658890,-1221803657,25111,28351,184,162,81,140,89,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335219,373658890,-1221803657,25111,28351,184,162,81,140,89,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335229,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335229,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
,,,50335322.25,,,,,,,,,,,,,,,,109299,1048200
3,12,2155,50335879,373658890,-1221803657,25111,28351,184,161,81,140,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335889,373658890,-1221803657,25111,28351,184,161,81,140,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335899,373658890,-1221803657,25111,28351,184,161,81,140,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335909,373658890,-1221803657,25111,28351,184,161,81,140,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335919,373658890,-1221803657,25111,28351,184,161,81,140,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335929,373658890,-1221803657,25111,28351,184,161,81,140,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335939,373658890,-1221803657,25111,28351,184,161,81,140,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50335939,373658890,-1221803657,25111,28351,184,161,81,140,88,-270322233,-429590825,384989731,0,0,0,,
,,,50336026.09,,,,,,,,,,,,,,,,109158,1048184
3,12,2155,50336579,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50336589,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50336599,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50336609,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50336619,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50336629,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50336639,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50336639,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
,,,50336724.14,,,,,,,,,,,,,,,,109149,1048184
3,12,2155,50337269,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50337279,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50337289,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50337299,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50337309,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50337319,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50337329,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50337339,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50337339,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
,,,50337423.3,,,,,,,,,,,,,,,,109226,1048216
3,12,2155,50337969,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50337979,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50337989,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50337999,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50338009,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50338019,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50338029,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50338029,373658890,-1221803657,25111,28351,201,174,83,153,100,-270322233,-429590825,384989731,0,0,0,,
,,,50338122.6,,,,,,,,,,,,,,,,109232,1048168
3,12,2155,50338679,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50338689,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50338699,373658890,-1221803657,25111,28351,201,174,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50338709,373658890,-1221803657,25111,28351,201,174,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50338719,373658890,-1221803657,25111,28351,201,174,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50338729,373658890,-1221803657,25111,28351,201,174,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50338739,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50338739,373658890,-1221803657,25111,28351,184,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
,,,50338824.88,,,,,,,,,,,,,,,,109223,1048168
3,12,2155,50339379,373658890,-1221803657,25111,28351,201,174,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50339389,373658890,-1221803657,25111,28351,201,174,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50339399,373658890,-1221803657,25111,28351,201,174,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50339409,373658890,-1221803657,25111,28351,201,174,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50339419,373658890,-1221803657,25111,28351,183,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50339429,373658890,-1221803657,25111,28351,201,174,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50339439,373658890,-1221803657,25111,28351,183,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50339439,373658890,-1221803657,25111,28351,183,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
,,,50339525.39,,,,,,,,,,,,,,,,109222,1048200
3,12,2155,50340079,373658890,-1221803657,25111,28351,200,174,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340089,373658890,-1221803657,25111,28351,200,174,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340099,373658890,-1221803657,25111,28351,183,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340109,373658890,-1221803657,25111,28351,183,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340119,373658890,-1221803657,25111,28351,183,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340129,373658890,-1221803657,25111,28351,183,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340139,373658890,-1221803657,25111,28351,183,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340139,373658890,-1221803657,25111,28351,183,161,81,139,88,-270322233,-429590825,384989731,0,0,0,,
,,,50340225.01,,,,,,,,,,,,,,,,109207,1048184
3,12,2155,50340779,373658890,-1221803657,25111,28351,183,160,81,138,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340789,373658890,-1221803657,25111,28351,183,160,81,138,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340799,373658890,-1221803657,25111,28351,183,160,81,138,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340809,373658890,-1221803657,25111,28351,183,160,81,138,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340819,373658890,-1221803657,25111,28351,183,160,81,138,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340829,373658890,-1221803657,25111,28351,183,160,81,138,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340839,373658890,-1221803657,25111,28351,183,160,81,138,88,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50340839,373658890,-1221803657,25111,28351,183,160,81,138,88,-270322233,-429590825,384989731,0,0,0,,
,,,50340924.25,,,,,,,,,,,,,,,,109192,1048200
3,12,2155,50341469,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50341479,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50341489,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50341499,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50341509,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50341519,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50341529,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50341539,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50341539,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
,,,50341623.42,,,,,,,,,,,,,,,,109243,1048200
3,12,2155,50342169,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50342179,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50342189,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50342199,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50342209,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
3,12,2155,50342219,373658890,-1221803657,25111,28351,200,173,83,152,100,-270322233,-429590825,384989731,0,0,0,,
